id,camber_pct,camber_pos_pct,thickness_pct,aoa_deg,flap_angle_deg,flap_chord_pct,aspect_ratio,endplate_h_pct,Cl,Cd,Cd_pressure,Cd_friction,Cm,Cl_3d,Cd_induced,Cd_3d,Cl_Cd,downforce_N,drag_N,efficiency,converged,stall_flag,x_tr_upper,x_tr_lower,Re,airfoil_name,t_max_pct,camber_actual,evaluated_at
1,6.4942797996815855,30.90323115139298,8.27304372521587,-9.472425416742619,21.084834731617843,34.53038277097394,2.4987028829851976,26.449030974207595,-0.3171392406924816,0.010473503092192294,0.0,0.010473503092192294,-0.02964744303384635,-0.2069139027648876,0.004107478731591131,0.014580981823783425,-30.28014962146716,-88.02433598407441,6.202972472530228,14.190670097906912,1,0,0.4582378485626366,0.7707414366703844,713039.0143737167,NACA 6308 (inv)+flap21°,8.276812063032924,12.422300290429638,2026-03-24 14:48:53
2,0.1279786294207813,22.826157400695045,12.928470327722906,-4.41066708197366,33.925420009219,29.793487925648115,4.9829591216361155,13.27147627024095,1.105089979474592,0.012845414419412421,0.0,0.012845414419412421,-0.1556292043328962,0.8368464289345634,0.04121123203450354,0.05405664645391596,86.0299203585478,356.00725830062066,22.99652341408199,15.480916479863149,1,0,0.2537692311413447,0.6583671856348811,713039.0143737167,NACA 0213 (inv)+flap34°,12.931690156326175,16.628141855660203,2026-03-24 14:48:53
3,5.065442768196913,24.784572421610896,10.347949544578546,-8.484435961198175,5.284248982912994,28.544411074434656,3.549381447141227,18.938320591465725,-1.070406423455492,0.01217829409676894,0.0,0.01217829409676894,0.03919548689042504,-0.7568053678018017,0.043211336448465636,0.055389630545234575,-87.89461109659725,-321.95656782730924,23.56359521519234,13.663304130251383,1,0,0.2604570525753044,0.6629499650000331,713039.0143737167,NACA 5210 (inv)+flap5°,10.35094486616189,5.065401214836137,2026-03-24 14:48:53
4,3.1493297867034817,43.16119543237564,7.768124332158181,-2.989266139300664,7.2550214189661935,28.044288003229305,5.288282551977783,22.756211300096904,-0.19159303848088102,0.010113237487584989,0.0,0.010113237487584989,0.00650463697229376,-0.1515726300719979,0.0010983140989844222,0.011211551586569411,-18.944777942383006,-64.48131293820174,4.769565363040647,13.519326821237698,1,0,0.5034820298115901,0.7903391813190425,713039.0143737167,NACA 3408 (inv)+flap7°,7.777865490603508,3.5415983818970225,2026-03-24 14:48:53
5,3.231958465726292,41.96273592364794,6.19491312369487,-7.565000928491681,7.373308960560617,32.908826804203855,4.621450843886229,13.706294327569827,-0.6539978764249792,0.010683215419095326,0.0,0.010683215419095326,0.008351126793328487,-0.486841168747851,0.014930488114427336,0.02561370353352266,-61.217325568107,-207.10967236181492,10.896460873357386,19.007058784399682,1,0,0.3559336697341389,0.7205258042566782,713039.0143737167,NACA 3406 (inv)+flap7°,6.202722412395583,4.223308744079946,2026-03-24 14:48:53
6,2.025415465568732,34.847899642943716,15.429509795466048,-16.12641611026136,21.985445291216806,32.02517567109901,5.459793791472565,22.269986438712984,-0.6889880858871839,0.012820379331150822,0.0,0.012820379331150822,-0.10956227547057289,-0.547946439354852,0.014002840257094529,0.02682321958824535,-53.74163026620343,-233.10478819712063,11.411007485046493,20.428063736054142,1,0,0.3467145210476094,0.7155011364178211,713039.0143737167,NACA 2315 (inv)+flap22°,15.434795410867952,11.98929867610651,2026-03-24 14:48:53
8,4.311390116376609,38.09409786257311,15.465988578563977,-2.3096639180222667,27.74750054647843,34.59826149515568,2.106906116506366,15.933798920563627,0.9117957967508176,0.013222784638948024,0.0,0.013222784638948024,-0.06911465110431435,0.5274574243115326,0.03707187252560128,0.0502946571645493,68.95641286216683,224.38844811529822,21.39611568530808,10.487345059055624,1,0,0.29335865891168383,0.6843172631557625,713039.0143737167,NACA 4415 (inv)+flap28°,15.487594736594842,16.108117199481782,2026-03-24 14:48:53
9,5.191763228376605,33.18007126916345,18.91680675146667,-10.662498041792642,9.360636146963808,22.843865294901207,4.805261342866626,12.557626837508835,-1.143669716232247,0.014716775812068034,0.0,0.014716775812068034,0.009326191290274207,-0.8560181885719171,0.04525289975946102,0.05996967557152905,-77.7119751524934,-364.1632178044241,25.512016354756035,14.274184084102611,1,0,0.24653168201429285,0.6533068070062198,713039.0143737167,NACA 5319 (inv)+flap9°,18.93076234570624,5.191598315268757,2026-03-24 14:48:53
10,8.064916617553672,25.56975951513756,10.226816326235442,-1.2767154184469867,28.61103423332961,31.243427316744587,3.0807125919657063,11.123466839610357,0.7303497406089193,0.011634519016236054,0.0,0.011634519016236054,-0.051599682321475805,0.47550879683999697,0.02231734179425382,0.03395186081048987,62.77438195680553,202.28870818790486,14.443640390191508,14.005382488287133,1,0,0.3361241192842837,0.7096066882530623,713039.0143737167,NACA 8310 (inv)+flap29°,10.230186523203928,14.961256794828001,2026-03-24 14:48:53
11,1.718294230528131,33.37372470342587,19.567375995852267,-4.3154310547300785,28.676008361769448,29.089918618607634,2.5329587396733446,8.47334553534877,0.833222321880267,0.014415485972916201,0.0,0.014415485972916201,-0.141830336367154,0.49593647472932484,0.030927176181900475,0.04534266215481668,57.800501727498066,210.9789545071569,19.289461339208074,10.937524423158342,1,0,0.31116585269166125,0.695156041203649,713039.0143737167,NACA 2320 (inv)+flap29°,19.57248306025124,13.958976795426686,2026-03-24 14:48:53
