id,camber_pct,camber_pos_pct,thickness_pct,aoa_deg,flap_angle_deg,flap_chord_pct,aspect_ratio,endplate_h_pct,Cl,Cd,Cd_pressure,Cd_friction,Cm,Cl_3d,Cd_induced,Cd_3d,Cl_Cd,downforce_N,drag_N,efficiency,converged,stall_flag,x_tr_upper,x_tr_lower,Re,airfoil_name,t_max_pct,camber_actual,evaluated_at,camber_thickness_ratio,loading_index,flap_effectiveness,ar_endplate_factor,chord_re_log
1,6.4942797996815855,30.90323115139298,8.27304372521587,-9.47242541674262,21.084834731617843,34.53038277097394,2.4987028829851976,26.449030974207595,-0.3171392406924816,0.0104735030921922,0.0,0.0104735030921922,-0.0296474430338463,-0.2069139027648876,0.0041074787315911,0.0145809818237834,-30.28014962146716,-88.02433598407441,6.202972472530228,14.190670097906912,1,0,0.4582378485626366,0.7707414366703844,713039.0143737167,NACA 6308 (inv)+flap21°,8.276812063032924,12.422300290429638,2026-03-24 14:48:53,0.7849928049923522,61.516581037942025,7.280674139454897,3.754380011986126,5.853113293195019
3,5.065442768196913,24.784572421610896,10.347949544578546,-8.484435961198175,5.284248982912994,28.544411074434656,3.549381447141227,18.938320591465725,-1.070406423455492,0.0121782940967689,0.0,0.0121782940967689,0.039195486890425,-0.7568053678018017,0.0432113364484656,0.0553896305452345,-87.89461109659725,-321.95656782730924,23.56359521519234,13.663304130251383,1,0,0.2604570525753044,0.6629499650000331,713039.0143737167,NACA 5210 (inv)+flap5°,10.35094486616189,5.065401214836137,2026-03-24 14:48:53,0.4895117381830276,42.97742478188112,1.5083577518793174,4.826548598341088,5.853113293195019
4,3.1493297867034817,43.16119543237564,7.768124332158181,-2.989266139300664,7.2550214189661935,28.044288003229305,5.288282551977783,22.756211300096904,-0.191593038480881,0.0101132374875849,0.0,0.0101132374875849,0.0065046369722937,-0.1515726300719979,0.0010983140989844,0.0112115515865694,-18.94477794238301,-64.48131293820174,4.769565363040647,13.519326821237698,1,0,0.5034820298115901,0.7903391813190425,713039.0143737167,NACA 3408 (inv)+flap7°,7.777865490603508,3.5415983818970225,2026-03-24 14:48:53,0.40541701600552504,9.4141848928837,2.034619101430853,7.574766780158804,5.853113293195019
5,3.231958465726292,41.96273592364794,6.19491312369487,-7.565000928491681,7.373308960560617,32.908826804203855,4.621450843886229,13.706294327569829,-0.6539978764249792,0.0106832154190953,0.0,0.0106832154190953,0.0083511267933284,-0.486841168747851,0.0149304881144273,0.0256137035335226,-61.217325568107,-207.1096723618149,10.896460873357386,19.00705878439968,1,0,0.3559336697341389,0.7205258042566782,713039.0143737167,NACA 3406 (inv)+flap7°,6.202722412395583,4.223308744079946,2026-03-24 14:48:53,0.5217116691054797,24.449768794065946,2.426469475569737,5.82496718813354,5.853113293195019
6,2.025415465568732,34.84789964294372,15.429509795466048,-16.12641611026136,21.98544529121681,32.02517567109901,5.459793791472565,22.269986438712984,-0.6889880858871839,0.0128203793311508,0.0,0.0128203793311508,-0.1095622754705728,-0.547946439354852,0.0140028402570945,0.0268232195882453,-53.74163026620343,-233.10478819712063,11.411007485046492,20.428063736054145,1,0,0.3467145210476094,0.7155011364178211,713039.0143737167,NACA 2315 (inv)+flap22°,15.434795410867952,11.98929867610651,2026-03-24 14:48:53,0.1312689445366501,32.66269259392011,7.040877476585548,7.769994931663569,5.853113293195019
9,5.191763228376605,33.18007126916345,18.91680675146667,-10.662498041792642,9.360636146963808,22.843865294901207,4.805261342866626,12.557626837508836,-1.143669716232247,0.014716775812068,0.0,0.014716775812068,0.0093261912902742,-0.8560181885719171,0.045252899759461,0.059969675571529,-77.7119751524934,-364.1632178044241,25.512016354756035,14.274184084102613,1,0,0.2465316820142928,0.6533068070062198,713039.0143737167,NACA 5319 (inv)+flap9°,18.93076234570624,5.191598315268757,2026-03-24 14:48:53,0.2744524113708607,55.35716525601659,2.1383311121582427,5.951772240074715,5.853113293195019
14,0.8972048163052683,56.86409130319417,16.529745727791422,-14.4079194158092,24.258913817304517,30.30749693810895,3.657976526025804,18.870657224182253,-0.3543353877633047,0.012418936706569,0.0,0.012418936706569,-0.1323254515708885,-0.2526539048829443,0.0046778547012355,0.0170967914078046,-28.531861956899785,-107.4828318151981,7.273236312401218,14.777855028845233,1,0,0.4456310016503121,0.7650289887541706,713039.0143737167,NACA 1617 (inv)+flap24°,16.534548522026192,12.452159269115583,2026-03-24 14:48:53,0.05427819829053994,12.926854692802202,7.352269562398055,4.969516528003824,5.853113293195019
15,1.5712974744871548,21.46147574525275,17.877213331931117,-6.573209455235313,6.240500678356877,28.87931481965076,5.151741096565969,6.93774265153619,-0.4414241358753664,0.0130175436501401,0.0,0.0130175436501401,-0.0427863141377527,-0.3286840539290971,0.0068669202952301,0.0198844639453702,-33.90994090276124,-139.827218998124,8.459154806911839,16.529691463250376,1,0,0.4174541416642255,0.7518192810246118,713039.0143737167,NACA 2218 (inv)+flap6°,17.88176300170343,3.139241137712,2026-03-24 14:48:53,0.08789387055535135,10.328467416286333,1.8022138372251237,5.830828721337002,5.853113293195019
17,4.630098696459848,30.039649709239576,16.249455943420557,-13.829816315013137,28.032464035509285,25.82446575626666,5.335624235662472,23.86547573254983,-0.5436421473247052,0.0127604838088608,0.0,0.0127604838088608,-0.1094451090679372,-0.4321833248991437,0.0087078011890152,0.0214682849978761,-42.60356860036932,-183.8573903893919,9.132936484225418,20.13124592588089,1,0,0.386646635498762,0.7366054294850866,713039.0143737167,NACA 5316 (inv)+flap28°,16.253593677747364,12.136769862942778,2026-03-24 14:48:53,0.2849386904140988,64.03341449242147,7.239234075487863,7.755031239232413,5.853113293195019
21,2.3119984748812565,24.521848646424,11.504910387884182,-11.515329258835967,14.528956579609378,32.92865157988985,5.046170570168545,7.440886244453882,-0.5434125954649709,0.0115813611912299,0.0,0.0115813611912299,-0.0790303756450126,-0.4033502620626026,0.0104612710437436,0.0220426322349736,-46.92130626894457,-171.59136487511066,9.377272575199653,18.298643182125616,1,0,0.3867132078199517,0.7366392480906387,713039.0143737167,NACA 2212 (inv)+flap15°,11.507863469514492,8.26078651796609,2026-03-24 14:48:53,0.20095753873198538,26.623423684184267,4.784189490293054,5.759582212640512,5.853113293195019
22,2.3826430750909195,30.547230417890624,13.035760849482164,-17.782650966000652,30.761676914198016,23.72270712993987,5.352251498631869,5.387779328608901,-0.7694333276720449,0.0123459652576362,0.0,0.0123459652576362,-0.1488388028562405,-0.5746437724914009,0.0207907357576989,0.0331367010153351,-62.32265453656093,-244.4622416620075,14.09685895728343,17.341610808676005,1,0,0.3264144209954471,0.7040815157855973,713039.0143737167,NACA 2313 (inv)+flap31°,13.039043153432656,12.133410860482831,2026-03-24 14:48:53,0.18277744602729254,42.369710180900306,7.29750252261352,5.900149748362921,5.853113293195019
